time,1,3,5,10,13,20,25,28,35,40,45,48,60,80,83,100,120,123,140,160,180,200,250,300,500
03/03,26.0342,27.099998,25.916847,25.871794,26.166666,25.512754,25.51073,24.85,25.43,25.14811,25.021006,24.832,24.711023,22.94678,23.393333,20.807793,18.513823,17.5225,16.598625,,13.903071,12.965,11.96,11.645667,8.120699
03/04,26.012484,26.92,25.911886,25.859396,26.289999,25.516161,25.508303,24.8675,25.44,25.05551,25.039272,24.817999,24.572588,22.66898,23.526667,20.538332,18.166513,17.26,16.456419,,13.81958,12.94625,12.0,11.569794,8.04888
03/05,26.062056,26.95,25.895456,25.842974,26.293333,25.499674,25.50939,24.705,25.3,25.011694,24.991724,24.61,24.498304,22.46177,23.51,20.186565,17.817524,16.380001,16.144781,,13.719682,13.025,11.88,11.502992,8.071839
03/06,26.0329,27.169998,25.86428,25.798967,26.183334,25.472616,25.492212,24.6375,25.26,24.99379,24.932598,24.498,24.478289,22.54084,23.519999,20.385084,17.995626,16.195,16.327826,,13.765291,13.09625,11.94,11.527882,8.072079
03/07,26.020376,27.32,25.859928,25.81073,26.103333,25.505035,25.480818,24.82,25.31,25.036016,24.929066,24.694,24.432344,22.416605,23.37,20.384243,18.035053,16.25,16.227674,,13.787334,13.12375,11.88,11.600562,8.113578
03/08,26.06819,27.415,25.918736,25.854967,26.033333,25.581547,25.550667,24.945,25.45,25.08686,25.00363,24.759998,24.57387,22.501719,23.006668,20.438808,18.122967,16.3725,16.378407,,13.899085,13.10625,11.79,11.58459,8.130982
03/09,26.148563,27.235,25.97481,25.918623,25.996666,25.626217,25.599155,24.92,25.49,25.107218,25.032625,24.76,24.63841,22.6955,23.116667,20.610048,17.947721,16.602499,16.055042,,13.963986,13.01625,11.93,11.562591,8.136127
03/10,26.20277,27.055,25.994162,25.938541,25.923334,25.628748,25.603004,24.79,25.46,25.035917,25.014172,24.539999,24.519506,22.612617,23.196669,20.265919,17.919804,16.6625,15.876627,,13.853305,13.12,11.95,11.58217,8.138108
03/11,26.276754,27.05,26.082209,25.999979,26.033333,25.684134,25.664415,24.85,25.27,25.101538,25.14453,24.560001,24.628439,22.448906,23.353333,19.907906,17.609241,17.385,15.999643,,13.819402,12.99625,11.73,11.5648575,8.147777
03/12,26.396397,27.04,26.19256,26.077698,26.086664,25.727596,25.716492,24.705,25.16,25.180761,25.186268,24.486,24.732172,22.436869,23.106667,19.705763,17.53364,16.77,16.082989,,13.828942,13.077499,11.98,11.53234,8.142174
03/13,26.436062,27.07,26.247116,26.131748,26.19,25.750843,25.72418,24.8525,25.2,25.218105,25.160086,24.536,24.852226,22.486984,23.153334,19.884785,17.711046,17.0525,16.01469,,13.815637,13.0925,12.26,11.52327,8.141904
03/14,26.479929,27.025,26.290766,26.161476,26.293333,25.753134,25.750303,25.0,25.17,25.25227,25.12543,24.622,24.786436,22.502293,22.659998,20.150545,17.941814,17.125,16.12832,,13.864962,13.00125,12.08,11.554448,8.157245
03/15,26.511232,27.315,26.323347,26.223429,26.403334,25.853565,25.821434,25.2225,25.36,25.352812,25.177244,24.864,24.722885,22.758255,23.306665,20.274046,18.1321,17.12,16.456411,,13.9550905,13.09625,12.09,11.597191,8.14963
03/16,26.556522,27.5,26.34052,26.279453,26.476667,25.877026,25.875628,25.3925,25.37,25.377329,25.298826,25.023998,24.784903,22.754446,23.376665,20.265728,18.00097,16.8625,16.36996,,13.807518,13.11,12.45,11.603157,8.149302
03/17,26.558317,27.555,26.357878,26.322721,26.443335,25.943106,25.89559,25.4375,25.16,25.43106,25.355984,25.133999,24.893488,22.759634,23.343332,20.417072,18.076277,16.904999,16.25189,,13.736258,13.09875,12.38,11.532867,8.176728
03/18,26.578655,27.57,26.371544,26.357718,26.386667,26.018036,25.951307,25.4475,25.07,25.53,25.412115,25.186,24.986551,22.864563,23.493332,20.433786,18.010906,16.849998,16.167028,,13.836842,12.966249,12.18,11.46943,8.24216
03/19,26.569214,27.720001,26.345709,26.352627,26.32,26.008219,25.947702,25.4,25.0,25.474512,25.353743,24.964,24.878714,22.782986,23.529999,20.24001,17.809507,16.6075,15.908529,,13.770808,12.95625,11.98,11.556615,8.26087
03/20,26.567446,27.865002,26.32171,26.350965,26.263334,25.993174,25.935259,25.435,24.82,25.438042,25.305367,24.978,24.74977,22.509428,22.983332,19.8657,17.591064,16.6775,15.9450445,,13.777757,13.01625,12.22,11.613037,8.229545
03/21,26.55478,27.785,26.351706,26.354824,26.173332,26.029972,25.966053,25.44,25.07,25.540283,25.367727,25.05,24.857126,22.928005,23.726667,20.417728,17.860538,16.6875,16.177134,,13.869056,13.115,12.31,11.628667,8.168675
